,Algorithm,Dataset,Number of Clusters,Eps,Min_Sample,Silhouette,Execution Time
733,DBScan,Trip Advisor,10,4.900000000000002,13,,0.047631199995521456
934,DBScan,Trip Advisor,10,5.700000000000003,14,,0.047750000027008355
925,DBScan,Trip Advisor,10,5.700000000000003,5,,0.04793629999039695
705,DBScan,Trip Advisor,10,4.8000000000000025,10,,0.0481279999949038
781,DBScan,Trip Advisor,10,5.100000000000003,11,,0.04813690000446513
994,DBScan,Trip Advisor,10,5.900000000000004,24,,0.048138099955394864
750,DBScan,Trip Advisor,10,5.000000000000003,5,,0.048139299964532256
743,DBScan,Trip Advisor,10,4.900000000000002,23,,0.04820989997824654
707,DBScan,Trip Advisor,10,4.8000000000000025,12,,0.0483523000148125
828,DBScan,Trip Advisor,10,5.3000000000000025,8,,0.048367799958214164
685,DBScan,Trip Advisor,10,4.700000000000003,15,,0.048576600034721196
947,DBScan,Trip Advisor,10,5.700000000000003,27,,0.04867089999606833
708,DBScan,Trip Advisor,10,4.8000000000000025,13,,0.04888369998661801
856,DBScan,Trip Advisor,10,5.400000000000003,11,,0.048899399989750236
997,DBScan,Trip Advisor,10,5.900000000000004,27,,0.0489225999917835
696,DBScan,Trip Advisor,10,4.700000000000003,26,,0.04906950000440702
991,DBScan,Trip Advisor,10,5.900000000000004,21,,0.04916669998783618
752,DBScan,Trip Advisor,10,5.000000000000003,7,,0.04932809999445453
765,DBScan,Trip Advisor,10,5.000000000000003,20,,0.04936659999657422
891,DBScan,Trip Advisor,10,5.5000000000000036,21,,0.04938769998261705
951,DBScan,Trip Advisor,10,5.800000000000003,6,,0.04951390001224354
948,DBScan,Trip Advisor,10,5.700000000000003,28,,0.04957149998517707
652,DBScan,Trip Advisor,10,4.600000000000002,7,,0.04990479996195063
676,DBScan,Trip Advisor,10,4.700000000000003,6,,0.050096700026188046
807,DBScan,Trip Advisor,10,5.200000000000003,12,,0.05031979997875169
845,DBScan,Trip Advisor,10,5.3000000000000025,25,,0.05032429995480925
819,DBScan,Trip Advisor,10,5.200000000000003,24,,0.05032540002139285
890,DBScan,Trip Advisor,10,5.5000000000000036,20,,0.050592999963555485
969,DBScan,Trip Advisor,10,5.800000000000003,24,,0.050855399982538074
846,DBScan,Trip Advisor,10,5.3000000000000025,26,,0.05098770000040531
615,DBScan,Trip Advisor,10,4.400000000000002,20,,0.05105430004186928
815,DBScan,Trip Advisor,10,5.200000000000003,20,,0.051142800017260015
767,DBScan,Trip Advisor,10,5.000000000000003,22,,0.051310300012119114
799,DBScan,Trip Advisor,10,5.100000000000003,29,,0.05132269999012351
834,DBScan,Trip Advisor,10,5.3000000000000025,14,,0.051327900029718876
716,DBScan,Trip Advisor,10,4.8000000000000025,21,,0.05140309996204451
741,DBScan,Trip Advisor,10,4.900000000000002,21,,0.05150930001400411
954,DBScan,Trip Advisor,10,5.800000000000003,9,,0.0516594999935478
938,DBScan,Trip Advisor,10,5.700000000000003,18,,0.05169860000023618
894,DBScan,Trip Advisor,10,5.5000000000000036,24,,0.051785900024697185
734,DBScan,Trip Advisor,10,4.900000000000002,14,,0.05180740001378581
963,DBScan,Trip Advisor,10,5.800000000000003,18,,0.05197129998123273
855,DBScan,Trip Advisor,10,5.400000000000003,10,,0.05197799997404218
866,DBScan,Trip Advisor,10,5.400000000000003,21,,0.05201759998453781
640,DBScan,Trip Advisor,10,4.500000000000002,20,,0.052085099974647164
723,DBScan,Trip Advisor,10,4.8000000000000025,28,,0.05214080004952848
697,DBScan,Trip Advisor,10,4.700000000000003,27,,0.052378499996848404
740,DBScan,Trip Advisor,10,4.900000000000002,20,,0.05238839995581657
973,DBScan,Trip Advisor,10,5.800000000000003,28,,0.05240449996199459
682,DBScan,Trip Advisor,10,4.700000000000003,12,,0.052513299975544214
585,DBScan,Trip Advisor,10,4.3000000000000025,15,,0.05254760000389069
756,DBScan,Trip Advisor,10,5.000000000000003,11,,0.05262100003892556
641,DBScan,Trip Advisor,10,4.500000000000002,21,,0.05283060000510886
858,DBScan,Trip Advisor,10,5.400000000000003,13,,0.05285769997863099
902,DBScan,Trip Advisor,10,5.600000000000003,7,,0.0529804999823682
753,DBScan,Trip Advisor,10,5.000000000000003,8,,0.05300250003347173
670,DBScan,Trip Advisor,10,4.600000000000002,25,,0.053085200022906065
722,DBScan,Trip Advisor,10,4.8000000000000025,27,,0.05309530004160479
821,DBScan,Trip Advisor,10,5.200000000000003,26,,0.05311229999642819
704,DBScan,Trip Advisor,10,4.8000000000000025,9,,0.05327829997986555
907,DBScan,Trip Advisor,10,5.600000000000003,12,,0.05331410001963377
695,DBScan,Trip Advisor,10,4.700000000000003,25,,0.053333899995777756
669,DBScan,Trip Advisor,10,4.600000000000002,24,,0.05336720001650974
970,DBScan,Trip Advisor,10,5.800000000000003,25,,0.05343289999291301
883,DBScan,Trip Advisor,10,5.5000000000000036,13,,0.053457100002560765
699,DBScan,Trip Advisor,10,4.700000000000003,29,,0.0534594000200741
678,DBScan,Trip Advisor,10,4.700000000000003,8,,0.05362269998295233
720,DBScan,Trip Advisor,10,4.8000000000000025,25,,0.05367680004565045
986,DBScan,Trip Advisor,10,5.900000000000004,16,,0.05368439998710528
746,DBScan,Trip Advisor,10,4.900000000000002,26,,0.05377050000242889
906,DBScan,Trip Advisor,10,5.600000000000003,11,,0.05398759996751323
745,DBScan,Trip Advisor,10,4.900000000000002,25,,0.05410769995069131
962,DBScan,Trip Advisor,10,5.800000000000003,17,,0.054153400007635355
667,DBScan,Trip Advisor,10,4.600000000000002,22,,0.054211199982091784
797,DBScan,Trip Advisor,10,5.100000000000003,27,,0.054265999991912395
940,DBScan,Trip Advisor,10,5.700000000000003,20,,0.05444179999176413
627,DBScan,Trip Advisor,10,4.500000000000002,7,,0.05448140000225976
996,DBScan,Trip Advisor,10,5.900000000000004,26,,0.05456860002595931
778,DBScan,Trip Advisor,10,5.100000000000003,8,,0.05472120002377778
770,DBScan,Trip Advisor,10,5.000000000000003,25,,0.0548611999838613
885,DBScan,Trip Advisor,10,5.5000000000000036,15,,0.054991799988783896
622,DBScan,Trip Advisor,10,4.400000000000002,27,,0.05517809995217249
744,DBScan,Trip Advisor,10,4.900000000000002,24,,0.05518099997425452
910,DBScan,Trip Advisor,10,5.600000000000003,15,,0.055205299984663725
643,DBScan,Trip Advisor,10,4.500000000000002,23,,0.05522710003424436
762,DBScan,Trip Advisor,10,5.000000000000003,17,,0.055359199992381036
