,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
5036,IMCKDE,Trip Advisor,7,7.399999999999999,4.0,,0.442436095053728,1.4047499999869615
5648,IMCKDE,Trip Advisor,7,7.199999999999998,4.5,,0.442436095053728,1.4415777999674901
5651,IMCKDE,Trip Advisor,10,7.199999999999998,4.5,,0.442436095053728,1.4542081999825314
5646,IMCKDE,Trip Advisor,5,7.199999999999998,4.5,,0.442436095053728,1.4563399000326172
5649,IMCKDE,Trip Advisor,8,7.199999999999998,4.5,,0.442436095053728,1.5003421999281272
5632,IMCKDE,Trip Advisor,9,6.999999999999998,4.5,,0.442436095053728,1.5150149000110105
5625,IMCKDE,Trip Advisor,2,6.999999999999998,4.5,,0.442436095053728,1.550185399944894
5033,IMCKDE,Trip Advisor,4,7.399999999999999,4.0,,0.442436095053728,1.5995619000168517
5034,IMCKDE,Trip Advisor,5,7.399999999999999,4.0,,0.442436095053728,1.663098799996078
5596,IMCKDE,Trip Advisor,9,6.599999999999999,4.5,,0.4317332761714281,0.968557000043802
5599,IMCKDE,Trip Advisor,3,6.699999999999998,4.5,,0.4317332761714281,0.9909159999806434
5583,IMCKDE,Trip Advisor,5,6.499999999999998,4.5,,0.4317332761714281,1.0284464000724256
5612,IMCKDE,Trip Advisor,7,6.799999999999999,4.5,,0.4317332761714281,1.0629528000717983
5559,IMCKDE,Trip Advisor,8,6.199999999999998,4.5,,0.4317332761714281,1.0640894999960437
5602,IMCKDE,Trip Advisor,6,6.699999999999998,4.5,,0.4317332761714281,1.0841651000082493
5589,IMCKDE,Trip Advisor,2,6.599999999999999,4.5,,0.4317332761714281,1.0848428999306634
5592,IMCKDE,Trip Advisor,5,6.599999999999999,4.5,,0.4317332761714281,1.0955350999720395
5573,IMCKDE,Trip Advisor,4,6.399999999999999,4.5,,0.4317332761714281,1.0989566999487579
5594,IMCKDE,Trip Advisor,7,6.599999999999999,4.5,,0.4317332761714281,1.1038133000256494
5600,IMCKDE,Trip Advisor,4,6.699999999999998,4.5,,0.4317332761714281,1.1100130999693647
5598,IMCKDE,Trip Advisor,2,6.699999999999998,4.5,,0.4317332761714281,1.1112012000521645
5606,IMCKDE,Trip Advisor,10,6.699999999999998,4.5,,0.4317332761714281,1.1160614000400528
5580,IMCKDE,Trip Advisor,2,6.499999999999998,4.5,,0.4317332761714281,1.1387871999759227
5601,IMCKDE,Trip Advisor,5,6.699999999999998,4.5,,0.4317332761714281,1.140607999986969
5585,IMCKDE,Trip Advisor,7,6.499999999999998,4.5,,0.4317332761714281,1.151234699995257
5605,IMCKDE,Trip Advisor,9,6.699999999999998,4.5,,0.4317332761714281,1.1560531000141054
5561,IMCKDE,Trip Advisor,10,6.199999999999998,4.5,,0.4317332761714281,1.1647449999582022
5587,IMCKDE,Trip Advisor,9,6.499999999999998,4.5,,0.4317332761714281,1.1668041000375524
