,Algorithm,Dataset,n_cluster,Alpha,Precision,Silhouette,Execution Time
0,k-means,Trip Advisor,2,,,0.29978030896500246,1.418757677078247
1,k-means,Trip Advisor,3,,,0.19255137874674627,0.020231962203979492
3,k-means,Trip Advisor,5,,,0.1652993255952677,0.018204212188720703
2,k-means,Trip Advisor,4,,,0.16492558694783296,0.025361061096191406
8,k-means,Trip Advisor,10,,,0.1625694169455231,0.03853201866149902
6,k-means,Trip Advisor,8,,,0.1540133356495802,0.04040026664733887
5,k-means,Trip Advisor,7,,,0.15386217571639016,0.04096031188964844
7,k-means,Trip Advisor,9,,,0.1502820093932645,0.020025968551635742
4,k-means,Trip Advisor,6,,,0.14895977346235095,0.03948664665222168
